FPR,LightGBM-TPR
0,0
0.01010101,0.175653682
0.02020202,0.204510505
0.03030303,0.227528414
0.04040404,0.256459646
0.050505051,0.288519997
0.060606061,0.343264222
0.070707071,0.371510889
0.080808081,0.388704607
0.090909091,0.410369731
0.101010101,0.430289869
0.111111111,0.445639185
0.121212121,0.467217973
0.131313131,0.474816878
0.141414141,0.484025535
0.151515152,0.492772959
0.161616162,0.503162791
0.171717172,0.512075277
0.181818182,0.520536677
0.191919192,0.531197053
0.202020202,0.543857509
0.212121212,0.557657392
0.222222222,0.572678268
0.232323232,0.579249716
0.242424242,0.585737071
0.252525253,0.608686512
0.262626263,0.615632342
0.272727273,0.623696036
0.282828283,0.639101052
0.292929293,0.649039971
0.303030303,0.660939192
0.313131313,0.669600986
0.323232323,0.677047022
0.333333333,0.684374721
0.343434343,0.692148207
0.353535354,0.701558879
0.363636364,0.71223129
0.373737374,0.720297255
0.383838384,0.725720669
0.393939394,0.73113263
0.404040404,0.736250846
0.414141414,0.741354349
0.424242424,0.753184171
0.434343434,0.759134239
0.444444444,0.774751736
0.454545455,0.785094778
0.464646465,0.789741442
0.474747475,0.794119863
0.484848485,0.801029715
0.494949495,0.80700578
0.505050505,0.821187979
0.515151515,0.837091573
0.525252525,0.842045908
0.535353535,0.847388592
0.545454545,0.85324414
0.555555556,0.860360504
0.565656566,0.863638787
0.575757576,0.869749711
0.585858586,0.872591507
0.595959596,0.873647901
0.606060606,0.87472609
0.616161616,0.876186173
0.626262626,0.877804725
0.636363636,0.87930475
0.646464646,0.882918156
0.656565657,0.889237382
0.666666667,0.893736954
0.676767677,0.914688429
0.686868687,0.919630399
0.696969697,0.925890879
0.707070707,0.93118262
0.717171717,0.935400006
0.727272727,0.93965949
0.737373737,0.944004824
0.747474747,0.947447934
0.757575758,0.950122144
0.767676768,0.953686759
0.777777778,0.957521463
0.787878788,0.959734183
0.797979798,0.96168031
0.808080808,0.963442839
0.818181818,0.965433692
0.828282828,0.96782725
0.838383838,0.970440891
0.848484848,0.972691596
0.858585859,0.976015395
0.868686869,0.980356622
0.878787879,0.983625358
0.888888889,0.986795407
0.898989899,0.989572823
0.909090909,0.991797906
0.919191919,0.993190701
0.929292929,0.994294617
0.939393939,0.995398532
0.949494949,0.996423738
0.95959596,0.997370236
0.96969697,0.998316733
0.97979798,0.99926323
0.98989899,0.999699743
1,1
