FPR,ET-TPR
0,0
0.001984127,0.010429593
0.003968254,0.046500212
0.006410256,0.06722618
0.011904762,0.10657098
0.014957265,0.118567269
0.016129032,0.123731875
0.01984127,0.130735591
0.025641026,0.141677736
0.029761905,0.145516558
0.068376068,0.218451729
0.083333333,0.264929898
0.13034188,0.412734898
0.14516129,0.442104294
0.160714286,0.469555894
0.239316239,0.550335381
0.322580645,0.635094331
0.387096774,0.729406514
0.444444444,0.779051531
0.46031746,0.789316709
0.516129032,0.819035826
0.724358974,0.900905446
0.725806452,0.901442099
0.85483871,0.948210135
0.935483871,0.975517081
0.967741935,0.989956343
1,1
